Name	Width	Depth	Height	Visible
Door frame	915	380	2,085	true
Door frame	810	152	2,085	true
Double window with large pane	800	383	1,300	true
Window	500	408	1,740	true
Door frame	3,060	380	2,085	true
Shower	800	1,200	2,110	true
Toilets unit	353	692	772	true
Washbasin	615	615	500	true
Door frame	1,500	380	2,085	true
Door frame	810	380	2,085	true
Window	815	408	1,740	true
Door frame	810	380	2,085	true
kitchen-600-3-draw-base	800	600	940	true
kitchen-corner-base	900	900	940	true
kitchen-600-3-draw-base	800	600	940	true
kitchen-corner-base	900	900	940	true
Door frame	810	380	2,085	true
Door frame	810	380	2,085	true
